County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
31 - Placer,12/12/2013,In Review,$10108385.00,12,Greater Sacramento Counties
31 - Placer,12/12/2013,Pending Construction,$686000.00,6,Greater Sacramento Counties
31 - Placer,12/12/2013,In Construction,$56797373.80,18,Greater Sacramento Counties
31 - Placer,12/12/2013,In Closure,$76792339.61,18,Greater Sacramento Counties
34 - Sacramento,12/12/2013,In Review,$51410603.00,39,Greater Sacramento Counties
34 - Sacramento,12/12/2013,Pending Construction,$92945419.19,36,Greater Sacramento Counties
34 - Sacramento,12/12/2013,In Construction,$264496501.14,125,Greater Sacramento Counties
34 - Sacramento,12/12/2013,In Closure,$114148509.90,62,Greater Sacramento Counties
38 - San Francisco,12/12/2013,In Review,$1237802398.31,66,Bay Area Counties
38 - San Francisco,12/12/2013,Pending Construction,$356714890.39,67,Bay Area Counties
38 - San Francisco,12/12/2013,In Construction,$1171677837.94,118,Bay Area Counties
38 - San Francisco,12/12/2013,In Closure,$292248954.35,99,Bay Area Counties
41 - San Mateo,12/12/2013,In Review,$74573192.52,29,Bay Area Counties
41 - San Mateo,12/12/2013,Pending Construction,$36749309.46,23,Bay Area Counties
41 - San Mateo,12/12/2013,In Construction,$333929300.77,68,Bay Area Counties
41 - San Mateo,12/12/2013,In Closure,$85336170.43,44,Bay Area Counties
43 - Santa Clara,12/12/2013,In Review,$733219403.41,75,Bay Area Counties
43 - Santa Clara,12/12/2013,Pending Construction,$14638055.00,63,Bay Area Counties
43 - Santa Clara,12/12/2013,In Construction,$972428644.31,150,Bay Area Counties
43 - Santa Clara,12/12/2013,In Closure,$97756519.24,134,Bay Area Counties
48 - Solano,12/12/2013,In Review,$8617159.00,15,Bay Area Counties
48 - Solano,12/12/2013,Pending Construction,$9844845.00,12,Bay Area Counties
48 - Solano,12/12/2013,In Construction,$42467377.13,29,Bay Area Counties
48 - Solano,12/12/2013,In Closure,$32463073.00,22,Bay Area Counties
49 - Sonoma,12/12/2013,In Review,$24742568.60,12,Bay Area Counties
49 - Sonoma,12/12/2013,Pending Construction,$2592744.00,19,Bay Area Counties
49 - Sonoma,12/12/2013,In Construction,$120057355.30,45,Bay Area Counties
49 - Sonoma,12/12/2013,In Closure,$38112559.30,25,Bay Area Counties
56 - Ventura,12/12/2013,In Review,$235486052.68,51,Greater Los Angeles Counties
56 - Ventura,12/12/2013,Pending Construction,$10076790.33,35,Greater Los Angeles Counties
56 - Ventura,12/12/2013,In Construction,$393888121.00,67,Greater Los Angeles Counties
56 - Ventura,12/12/2013,In Closure,$34673445.00,59,Greater Los Angeles Counties
57 - Yolo,12/12/2013,In Review,$831623.00,7,Greater Sacramento Counties
57 - Yolo,12/12/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,12/12/2013,In Construction,$1502144.00,8,Greater Sacramento Counties
57 - Yolo,12/12/2013,In Closure,$59405.00,2,Greater Sacramento Counties
01 - Alameda,12/31/2013,In Review,$38420857.00,44,Bay Area Counties
01 - Alameda,12/31/2013,Pending Construction,$328285654.13,124,Bay Area Counties
01 - Alameda,12/31/2013,In Construction,$1556169585.26,190,Bay Area Counties
01 - Alameda,12/31/2013,In Closure,$63763209.61,60,Bay Area Counties
07 - Contra Costa,12/31/2013,In Review,$23159769.00,32,Bay Area Counties
07 - Contra Costa,12/31/2013,Pending Construction,$20755102.00,48,Bay Area Counties
07 - Contra Costa,12/31/2013,In Construction,$38312233.98,56,Bay Area Counties
07 - Contra Costa,12/31/2013,In Closure,$12675955.60,20,Bay Area Counties
09 - El Dorado,12/31/2013,In Review,$11410240.00,6,Greater Sacramento Counties
09 - El Dorado,12/31/2013,Pending Construction,$376575.00,2,Greater Sacramento Counties
09 - El Dorado,12/31/2013,In Construction,$11361464.00,5,Greater Sacramento Counties
09 - El Dorado,12/31/2013,In Closure,$24271614.00,5,Greater Sacramento Counties
19 - Los Angeles,12/31/2013,In Review,$531180664.59,477,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,Pending Construction,$276149930.66,513,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,In Construction,$2236609039.43,848,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,In Closure,$624265519.83,749,Greater Los Angeles Counties
21 - Marin,12/31/2013,In Review,$183208715.00,18,Bay Area Counties
21 - Marin,12/31/2013,Pending Construction,$44482215.00,9,Bay Area Counties
21 - Marin,12/31/2013,In Construction,$23562956.00,20,Bay Area Counties
21 - Marin,12/31/2013,In Closure,$5604832.00,14,Bay Area Counties
28 - Napa,12/31/2013,In Review,$1423950.00,6,Bay Area Counties
28 - Napa,12/31/2013,Pending Construction,$669298.00,7,Bay Area Counties
28 - Napa,12/31/2013,In Construction,$33992820.00,10,Bay Area Counties
28 - Napa,12/31/2013,In Closure,$49625166.00,21,Bay Area Counties
30 - Orange,12/31/2013,In Review,$47271649.33,91,Greater Los Angeles Counties
30 - Orange,12/31/2013,Pending Construction,$21060267.33,60,Greater Los Angeles Counties
30 - Orange,12/31/2013,In Construction,$216805170.01,142,Greater Los Angeles Counties
30 - Orange,12/31/2013,In Closure,$337505305.68,222,Greater Los Angeles Counties
31 - Placer,12/31/2013,In Review,$10959929.00,13,Greater Sacramento Counties
31 - Placer,12/31/2013,Pending Construction,$796000.00,7,Greater Sacramento Counties
31 - Placer,12/31/2013,In Construction,$16748799.00,16,Greater Sacramento Counties
31 - Placer,12/31/2013,In Closure,$123056649.00,15,Greater Sacramento Counties
34 - Sacramento,12/31/2013,In Review,$55060423.00,46,Greater Sacramento Counties
34 - Sacramento,12/31/2013,Pending Construction,$93151278.19,38,Greater Sacramento Counties
34 - Sacramento,12/31/2013,In Construction,$264541223.54,122,Greater Sacramento Counties
34 - Sacramento,12/31/2013,In Closure,$113459307.50,52,Greater Sacramento Counties
38 - San Francisco,12/31/2013,In Review,$1250913582.31,71,Bay Area Counties
38 - San Francisco,12/31/2013,Pending Construction,$357041076.39,66,Bay Area Counties
38 - San Francisco,12/31/2013,In Construction,$1172262192.14,120,Bay Area Counties
38 - San Francisco,12/31/2013,In Closure,$446651371.49,103,Bay Area Counties
41 - San Mateo,12/31/2013,In Review,$74615192.52,30,Bay Area Counties
41 - San Mateo,12/31/2013,Pending Construction,$35860717.46,22,Bay Area Counties
41 - San Mateo,12/31/2013,In Construction,$334867100.78,69,Bay Area Counties
41 - San Mateo,12/31/2013,In Closure,$84534449.56,45,Bay Area Counties
43 - Santa Clara,12/31/2013,In Review,$724372439.25,86,Bay Area Counties
43 - Santa Clara,12/31/2013,Pending Construction,$15996221.00,69,Bay Area Counties
43 - Santa Clara,12/31/2013,In Construction,$972841325.39,147,Bay Area Counties
43 - Santa Clara,12/31/2013,In Closure,$95549788.24,134,Bay Area Counties
48 - Solano,12/31/2013,In Review,$64960204.00,15,Bay Area Counties
48 - Solano,12/31/2013,Pending Construction,$10489845.00,12,Bay Area Counties
48 - Solano,12/31/2013,In Construction,$40910706.13,24,Bay Area Counties
48 - Solano,12/31/2013,In Closure,$33914409.00,24,Bay Area Counties
49 - Sonoma,12/31/2013,In Review,$25384134.60,16,Bay Area Counties
49 - Sonoma,12/31/2013,Pending Construction,$2442744.00,18,Bay Area Counties
49 - Sonoma,12/31/2013,In Construction,$119693155.30,41,Bay Area Counties
49 - Sonoma,12/31/2013,In Closure,$36919462.16,23,Bay Area Counties
56 - Ventura,12/31/2013,In Review,$216370512.90,51,Greater Los Angeles Counties
56 - Ventura,12/31/2013,Pending Construction,$29326068.11,40,Greater Los Angeles Counties
56 - Ventura,12/31/2013,In Construction,$393931621.00,68,Greater Los Angeles Counties
56 - Ventura,12/31/2013,In Closure,$30444168.00,55,Greater Los Angeles Counties
57 - Yolo,12/31/2013,In Review,$2506382.00,6,Greater Sacramento Counties
57 - Yolo,12/31/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,12/31/2013,In Construction,$695857.00,8,Greater Sacramento Counties
57 - Yolo,12/31/2013,In Closure,$1321526.00,4,Greater Sacramento Counties
01 - Alameda,1/21/2014,In Review,$24790727.00,38,Bay Area Counties
01 - Alameda,1/21/2014,Pending Construction,$330301786.00,129,Bay Area Counties
01 - Alameda,1/21/2014,In Construction,$1567694755.00,192,Bay Area Counties
01 - Alameda,1/21/2014,In Closure,$63748710.00,59,Bay Area Counties
07 - Contra Costa,1/21/2014,In Review,$18992644.00,30,Bay Area Counties
07 - Contra Costa,1/21/2014,Pending Construction,$21805440.00,47,Bay Area Counties
07 - Contra Costa,1/21/2014,In Construction,$41157817.00,57,Bay Area Counties
07 - Contra Costa,1/21/2014,In Closure,$12367152.00,19,Bay Area Counties
09 - El Dorado,1/21/2014,In Review,$11410240.00,6,Greater Sacramento Counties
09 - El Dorado,1/21/2014,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,1/21/2014,In Construction,$11773539.00,6,Greater Sacramento Counties
09 - El Dorado,1/21/2014,In Closure,$24129130.00,4,Greater Sacramento Counties
19 - Los Angeles,1/21/2014,In Review,$528731129.00,472,Greater Los Angeles Counties
19 - Los Angeles,1/21/2014,Pending Construction,$256999428.00,514,Greater Los Angeles Counties
19 - Los Angeles,1/21/2014,In Construction,$2147082218.00,842,Greater Los Angeles Counties
19 - Los Angeles,1/21/2014,In Closure,$690348069.00,750,Greater Los Angeles Counties
21 - Marin,1/21/2014,In Review,$8650358.00,15,Bay Area Counties
21 - Marin,1/21/2014,Pending Construction,$559215.00,7,Bay Area Counties
21 - Marin,1/21/2014,In Construction,$24288387.00,21,Bay Area Counties
21 - Marin,1/21/2014,In Closure,$5009184.00,12,Bay Area Counties
28 - Napa,1/21/2014,In Review,$1368950.00,5,Bay Area Counties
28 - Napa,1/21/2014,Pending Construction,$687314.00,6,Bay Area Counties
28 - Napa,1/21/2014,In Construction,$34228612.00,12,Bay Area Counties
28 - Napa,1/21/2014,In Closure,$49625166.00,21,Bay Area Counties
30 - Orange,1/21/2014,In Review,$47275160.00,91,Greater Los Angeles Counties
30 - Orange,1/21/2014,Pending Construction,$22348731.00,57,Greater Los Angeles Counties
30 - Orange,1/21/2014,In Construction,$212813691.00,140,Greater Los Angeles Counties
30 - Orange,1/21/2014,In Closure,$342240825.00,234,Greater Los Angeles Counties
31 - Placer,1/21/2014,In Review,$12207929.00,15,Greater Sacramento Counties
31 - Placer,1/21/2014,Pending Construction,$966000.00,8,Greater Sacramento Counties
31 - Placer,1/21/2014,In Construction,$16778799.00,16,Greater Sacramento Counties
31 - Placer,1/21/2014,In Closure,$123056649.00,15,Greater Sacramento Counties
34 - Sacramento,1/21/2014,In Review,$57007764.00,44,Greater Sacramento Counties
34 - Sacramento,1/21/2014,Pending Construction,$92702006.00,35,Greater Sacramento Counties
34 - Sacramento,1/21/2014,In Construction,$265174210.00,125,Greater Sacramento Counties
34 - Sacramento,1/21/2014,In Closure,$112061045.00,54,Greater Sacramento Counties
38 - San Francisco,1/21/2014,In Review,$1248450580.00,67,Bay Area Counties
38 - San Francisco,1/21/2014,Pending Construction,$358283439.00,67,Bay Area Counties
38 - San Francisco,1/21/2014,In Construction,$1171463332.00,117,Bay Area Counties
38 - San Francisco,1/21/2014,In Closure,$446823411.00,100,Bay Area Counties
41 - San Mateo,1/21/2014,In Review,$73443113.00,27,Bay Area Counties
41 - San Mateo,1/21/2014,Pending Construction,$35567745.00,21,Bay Area Counties
41 - San Mateo,1/21/2014,In Construction,$335397889.00,70,Bay Area Counties
41 - San Mateo,1/21/2014,In Closure,$84850069.00,45,Bay Area Counties
43 - Santa Clara,1/21/2014,In Review,$724898676.00,87,Bay Area Counties
43 - Santa Clara,1/21/2014,Pending Construction,$20018004.00,59,Bay Area Counties
43 - Santa Clara,1/21/2014,In Construction,$965059526.00,142,Bay Area Counties
43 - Santa Clara,1/21/2014,In Closure,$90211960.00,133,Bay Area Counties
48 - Solano,1/21/2014,In Review,$63694161.00,14,Bay Area Counties
48 - Solano,1/21/2014,Pending Construction,$11740763.00,12,Bay Area Counties
48 - Solano,1/21/2014,In Construction,$40738669.00,21,Bay Area Counties
48 - Solano,1/21/2014,In Closure,$34089446.00,26,Bay Area Counties
49 - Sonoma,1/21/2014,In Review,$3454816.00,14,Bay Area Counties
49 - Sonoma,1/21/2014,Pending Construction,$2327750.00,17,Bay Area Counties
49 - Sonoma,1/21/2014,In Construction,$136298335.00,43,Bay Area Counties
49 - Sonoma,1/21/2014,In Closure,$42396292.00,22,Bay Area Counties
56 - Ventura,1/21/2014,In Review,$213050328.00,43,Greater Los Angeles Counties
56 - Ventura,1/21/2014,Pending Construction,$32517012.00,41,Greater Los Angeles Counties
56 - Ventura,1/21/2014,In Construction,$394001177.00,67,Greater Los Angeles Counties
56 - Ventura,1/21/2014,In Closure,$27523735.00,56,Greater Los Angeles Counties
57 - Yolo,1/21/2014,In Review,$2481382.00,5,Greater Sacramento Counties
57 - Yolo,1/21/2014,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,1/21/2014,In Construction,$683757.00,6,Greater Sacramento Counties
57 - Yolo,1/21/2014,In Closure,$1358626.00,7,Greater Sacramento Counties
01 - Alameda,1/30/2014,In Review,$25774199.00,38,Bay Area Counties
01 - Alameda,1/30/2014,Pending Construction,$328796720.00,126,Bay Area Counties
01 - Alameda,1/30/2014,In Construction,$1570294423.00,196,Bay Area Counties
01 - Alameda,1/30/2014,In Closure,$63773710.00,60,Bay Area Counties
07 - Contra Costa,1/30/2014,In Review,$17032944.00,29,Bay Area Counties
07 - Contra Costa,1/30/2014,Pending Construction,$23832940.00,49,Bay Area Counties
07 - Contra Costa,1/30/2014,In Construction,$41137352.00,57,Bay Area Counties
07 - Contra Costa,1/30/2014,In Closure,$12426789.00,20,Bay Area Counties
09 - El Dorado,1/30/2014,In Review,$11410240.00,6,Greater Sacramento Counties
09 - El Dorado,1/30/2014,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,1/30/2014,In Construction,$11773539.00,6,Greater Sacramento Counties
09 - El Dorado,1/30/2014,In Closure,$24129130.00,4,Greater Sacramento Counties
19 - Los Angeles,1/30/2014,In Review,$521968454.00,456,Greater Los Angeles Counties
19 - Los Angeles,1/30/2014,Pending Construction,$258441034.00,515,Greater Los Angeles Counties
19 - Los Angeles,1/30/2014,In Construction,$2095643266.00,841,Greater Los Angeles Counties
19 - Los Angeles,1/30/2014,In Closure,$750908282.00,768,Greater Los Angeles Counties
21 - Marin,1/30/2014,In Review,$7258918.00,16,Bay Area Counties
21 - Marin,1/30/2014,Pending Construction,$559215.00,7,Bay Area Counties
21 - Marin,1/30/2014,In Construction,$24341887.00,21,Bay Area Counties
21 - Marin,1/30/2014,In Closure,$5070748.00,12,Bay Area Counties
28 - Napa,1/30/2014,In Review,$1403950.00,6,Bay Area Counties
28 - Napa,1/30/2014,Pending Construction,$687314.00,6,Bay Area Counties
28 - Napa,1/30/2014,In Construction,$34228612.00,12,Bay Area Counties
28 - Napa,1/30/2014,In Closure,$49562566.00,20,Bay Area Counties
30 - Orange,1/30/2014,In Review,$46813613.00,90,Greater Los Angeles Counties
30 - Orange,1/30/2014,Pending Construction,$21985278.00,56,Greater Los Angeles Counties
30 - Orange,1/30/2014,In Construction,$213206662.00,139,Greater Los Angeles Counties
30 - Orange,1/30/2014,In Closure,$341430614.00,232,Greater Los Angeles Counties
31 - Placer,1/30/2014,In Review,$12232929.00,16,Greater Sacramento Counties
31 - Placer,1/30/2014,Pending Construction,$866000.00,7,Greater Sacramento Counties
31 - Placer,1/30/2014,In Construction,$16903309.00,17,Greater Sacramento Counties
31 - Placer,1/30/2014,In Closure,$123056649.00,15,Greater Sacramento Counties
34 - Sacramento,1/30/2014,In Review,$57900055.00,45,Greater Sacramento Counties
34 - Sacramento,1/30/2014,Pending Construction,$92945458.00,37,Greater Sacramento Counties
34 - Sacramento,1/30/2014,In Construction,$265208002.00,125,Greater Sacramento Counties
34 - Sacramento,1/30/2014,In Closure,$112013919.00,53,Greater Sacramento Counties
38 - San Francisco,1/30/2014,In Review,$1248435580.00,66,Bay Area Counties
38 - San Francisco,1/30/2014,Pending Construction,$358243439.00,66,Bay Area Counties
38 - San Francisco,1/30/2014,In Construction,$1171164032.00,116,Bay Area Counties
38 - San Francisco,1/30/2014,In Closure,$444522004.00,97,Bay Area Counties
41 - San Mateo,1/30/2014,In Review,$72007565.00,29,Bay Area Counties
41 - San Mateo,1/30/2014,Pending Construction,$37202745.00,24,Bay Area Counties
41 - San Mateo,1/30/2014,In Construction,$333721434.00,64,Bay Area Counties
41 - San Mateo,1/30/2014,In Closure,$86503526.00,49,Bay Area Counties
43 - Santa Clara,1/30/2014,In Review,$722994536.00,83,Bay Area Counties
43 - Santa Clara,1/30/2014,Pending Construction,$19840504.00,61,Bay Area Counties
43 - Santa Clara,1/30/2014,In Construction,$966968160.00,145,Bay Area Counties
43 - Santa Clara,1/30/2014,In Closure,$88369164.00,132,Bay Area Counties
48 - Solano,1/30/2014,In Review,$63081465.00,12,Bay Area Counties
48 - Solano,1/30/2014,Pending Construction,$12081443.00,11,Bay Area Counties
48 - Solano,1/30/2014,In Construction,$41011185.00,23,Bay Area Counties
48 - Solano,1/30/2014,In Closure,$33467529.00,25,Bay Area Counties
49 - Sonoma,1/30/2014,In Review,$3454816.00,14,Bay Area Counties
49 - Sonoma,1/30/2014,Pending Construction,$2313997.00,17,Bay Area Counties
49 - Sonoma,1/30/2014,In Construction,$136309835.00,44,Bay Area Counties
49 - Sonoma,1/30/2014,In Closure,$42396292.00,22,Bay Area Counties
56 - Ventura,1/30/2014,In Review,$214237328.00,43,Greater Los Angeles Counties
56 - Ventura,1/30/2014,Pending Construction,$32518760.00,41,Greater Los Angeles Counties
56 - Ventura,1/30/2014,In Construction,$394044177.00,70,Greater Los Angeles Counties
56 - Ventura,1/30/2014,In Closure,$27489487.00,53,Greater Los Angeles Counties
57 - Yolo,1/30/2014,In Review,$2521382.00,6,Greater Sacramento Counties
57 - Yolo,1/30/2014,Pending Construction,$609000.00,4,Greater Sacramento Counties
57 - Yolo,1/30/2014,In Construction,$683757.00,6,Greater Sacramento Counties
57 - Yolo,1/30/2014,In Closure,$1333626.00,6,Greater Sacramento Counties
01 - Alameda,2/14/2014,In Review,$41408077.00,38,Bay Area Counties
01 - Alameda,2/14/2014,Pending Construction,$327969420.00,127,Bay Area Counties
01 - Alameda,2/14/2014,In Construction,$1571638473.00,198,Bay Area Counties
